ALL;Material;Material Description;Batch;Plnt;BUn;Type ;Statut ;Unrestricted;In Quality Insp.;Blocked;Value Unrestricted;Value in QualInsp.;Value BlockedStock;Quantité Disponible ;Valeur Disponible ;Quantité Bloquée ;Valeur Bloquée
661A;300424160;ENV EC CIRTF 30PES2150TR;2353297;66;M;RM;vivant;0,000;0,000;59,000;0,00;0,00;27,14;0,00;0,00;59,00;27,14
661A;300424160;ENV EC CIRTF 30PES2150TR;2376942;66;M;RM;vivant;1 114,000;0,000;0,000;512,44;0,00;0,00;1 114,00;512,44;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2377038;66;M;RM;vivant;2 760,000;0,000;0,000;1 269,60;0,00;0,00;2 760,00;1 269,60;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600094;66;M;RM;vivant;0,000;0,000;156,000;0,00;0,00;71,76;0,00;0,00;156,00;71,76
661A;300424160;ENV EC CIRTF 30PES2150TR;2600132;66;M;RM;vivant;325,600;0,000;0,000;149,78;0,00;0,00;325,60;149,78;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600147;66;M;RM;vivant;0,000;0,000;1 544,800;0,00;0,00;710,61;0,00;0,00;1 544,80;710,61
661A;300424160;ENV EC CIRTF 30PES2150TR;2600187;66;M;RM;vivant;6 030,900;0,000;0,000;2 774,21;0,00;0,00;6 030,90;2 774,21;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600205;66;M;RM;vivant;745,200;0,000;0,000;342,79;0,00;0,00;745,20;342,79;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600226;66;M;RM;vivant;2 339,400;0,000;0,000;1 076,12;0,00;0,00;2 339,40;1 076,12;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600238;66;M;RM;vivant;3 085,000;0,000;0,000;1 419,10;0,00;0,00;3 085,00;1 419,10;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600245;66;M;RM;vivant;2 247,800;0,000;0,000;1 033,99;0,00;0,00;2 247,80;1 033,99;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600256;66;M;RM;vivant;32 489,700;0,000;0,000;14 945,25;0,00;0,00;32 489,70;14 945,25;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2376836;66;M;RM;vivant;66,000;0,000;0,000;30,36;0,00;0,00;66,00;30,36;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2376942;66;M;RM;vivant;66,000;0,000;0,000;30,36;0,00;0,00;66,00;30,36;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2377038;66;M;RM;vivant;329,000;0,000;0,000;151,34;0,00;0,00;329,00;151,34;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600147;66;M;RM;vivant;18,400;0,000;0,000;8,46;0,00;0,00;18,40;8,46;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600176;66;M;RM;vivant;71,700;0,000;0,000;32,98;0,00;0,00;71,70;32,98;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600187;66;M;RM;vivant;129,300;0,000;0,000;59,48;0,00;0,00;129,30;59,48;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600205;66;M;RM;vivant;605,800;0,000;0,000;278,67;0,00;0,00;605,80;278,67;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600226;66;M;RM;vivant;552,100;0,000;0,000;253,97;0,00;0,00;552,10;253,97;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600245;66;M;RM;vivant;606,000;0,000;0,000;278,76;0,00;0,00;606,00;278,76;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600256;66;M;RM;vivant;1 635,000;0,000;0,000;752,10;0,00;0,00;1 635,00;752,10;0,00;0,00
662A;300424160;ENV EC CIRTF 30PES2150TR;2600094;66;M;RM;vivant;182,000;0,000;0,000;83,72;0,00;0,00;182,00;83,72;0,00;0,00
661E;310048219;DUVETINE PAMPLEMOU F681MISTRAL HZD L1470;2226344;66;M;RM;vivant;539,130;0,000;0,000;4 528,69;0,00;0,00;539,13;4 528,69;0,00;0,00
661A;331001767;SILICON SERGE NOIR CAL TSC L2000;1820613;66;M;FG;vivant;813,000;0,000;0,000;1 175,64;0,00;0,00;813,00;1 175,64;0,00;0,00
661A;331001927;CURITIBA G282 MISTRAL HZD L1920;2377120;66;M;FG;obsolète;1 028,530;0,000;0,000;2 527,30;0,00;0,00;1 028,53;2 527,30;0,00;0,00
661A;331002436;NILO GREY L1920;2371127;66;M;FG;vivant;0,000;0,000;298,770;0,00;0,00;1 350,09;0,00;0,00;298,77;1 350,09
661A;331002436;NILO GREY L1920;2383774;66;M;FG;vivant;0,000;0,000;520,700;0,00;0,00;2 352,95;0,00;0,00;520,70;2 352,95
661A;331002436;NILO GREY L1920;2394597;66;M;FG;vivant;623,810;0,000;0,000;2 818,89;0,00;0,00;623,81;2 818,89;0,00;0,00
661A;331002436;NILO GREY L1920;2394598;66;M;FG;vivant;0,000;0,000;690,650;0,00;0,00;3 120,93;0,00;0,00;690,65;3 120,93
661A;331006194;PES.DTY.0177F047X2.RND.SD.HRD.0105.RW.Y0;1618F1;66;KG;RM;vivant;105,000;0,000;0,000;379,05;0,00;0,00;105,00;379,05;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2286023;66;M;FG;vivant;0,000;0,000;319,080;0,00;0,00;1 033,37;0,00;0,00;319,08;1 033,37
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2293371;66;M;FG;vivant;0,000;0,000;180,610;0,00;0,00;584,92;0,00;0,00;180,61;584,92
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2329346;66;M;FG;vivant;0,000;0,000;326,650;0,00;0,00;1 057,88;0,00;0,00;326,65;1 057,88
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2394484;66;M;FG;vivant;1 396,570;0,000;0,000;4 522,90;0,00;0,00;1 396,57;4 522,90;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2394485;66;M;FG;vivant;591,220;0,000;0,000;1 914,71;0,00;0,00;591,22;1 914,71;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2399800;66;M;FG;vivant;1 305,580;0,000;0,000;4 228,23;0,00;0,00;1 305,58;4 228,23;0,00;0,00
661E;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2390438;66;M;FG;vivant;389,920;0,000;0,000;1 262,79;0,00;0,00;389,92;1 262,79;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2280109;66;M;RM;vivant;120,000;0,000;0,000;61,20;0,00;0,00;120,00;61,20;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2318316;66;M;RM;vivant;30,000;0,000;0,000;15,30;0,00;0,00;30,00;15,30;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2322585;66;M;RM;vivant;109,000;0,000;0,000;55,59;0,00;0,00;109,00;55,59;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2332788;66;M;RM;vivant;552,000;0,000;0,000;281,52;0,00;0,00;552,00;281,52;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2356326;66;M;RM;vivant;1 044,000;0,000;509,000;532,44;0,00;259,59;1 044,00;532,44;509,00;259,59
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2366843;66;M;RM;vivant;537,000;0,000;0,000;273,87;0,00;0,00;537,00;273,87;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2377249;66;M;RM;vivant;535,000;0,000;0,000;272,85;0,00;0,00;535,00;272,85;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2377375;66;M;RM;vivant;1 503,000;0,000;0,000;766,53;0,00;0,00;1 503,00;766,53;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2378143;66;M;RM;vivant;490,000;0,000;0,000;249,90;0,00;0,00;490,00;249,90;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2379903;66;M;RM;vivant;512,000;0,000;0,000;261,12;0,00;0,00;512,00;261,12;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2382711;66;M;RM;vivant;1 051,000;0,000;0,000;536,01;0,00;0,00;1 051,00;536,01;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2389003;66;M;RM;vivant;2 146,000;0,000;0,000;1 094,46;0,00;0,00;2 146,00;1 094,46;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2389125;66;M;RM;vivant;2 327,000;0,000;0,000;1 186,77;0,00;0,00;2 327,00;1 186,77;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600 246;66;M;RM;vivant;8 751,300;0,000;0,000;4 463,16;0,00;0,00;8 751,30;4 463,16;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600 264;66;M;RM;vivant;7 870,700;0,000;0,000;4 014,06;0,00;0,00;7 870,70;4 014,06;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600246;66;M;RM;vivant;4 961,000;0,000;0,000;2 530,11;0,00;0,00;4 961,00;2 530,11;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2340722;66;M;RM;vivant;72,000;0,000;0,000;36,72;0,00;0,00;72,00;36,72;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2341187;66;M;RM;vivant;57,585;0,000;0,000;29,37;0,00;0,00;57,59;29,37;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2356326;66;M;RM;vivant;166,000;0,000;0,000;84,66;0,00;0,00;166,00;84,66;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2358922;66;M;RM;vivant;24,000;0,000;0,000;12,24;0,00;0,00;24,00;12,24;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2366843;66;M;RM;vivant;534,000;0,000;0,000;272,34;0,00;0,00;534,00;272,34;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2378143;66;M;RM;vivant;468,000;0,000;0,000;238,68;0,00;0,00;468,00;238,68;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2379903;66;M;RM;vivant;166,000;0,000;0,000;84,66;0,00;0,00;166,00;84,66;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2382711;66;M;RM;vivant;169,000;0,000;0,000;86,19;0,00;0,00;169,00;86,19;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2389125;66;M;RM;vivant;261,000;0,000;0,000;133,11;0,00;0,00;261,00;133,11;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2389128;66;M;RM;vivant;67,000;0,000;0,000;34,17;0,00;0,00;67,00;34,17;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2600246;66;M;RM;vivant;136,800;0,000;0,000;69,77;0,00;0,00;136,80;69,77;0,00;0,00
661A;332000158;YAR-PES FTF 3X166/36 TM TATANIDE APF;4S2005/10;66;KG;RM;vivant;140,000;0,000;0,000;351,95;0,00;0,00;140,00;351,95;0,00;0,00
661A;332000158;YAR-PES FTF 3X166/36 TM TATANIDE APF;4S2005/15;66;KG;RM;vivant;19 355,000;0,000;0,000;48 656,94;0,00;0,00;19 355,00;48 656,94;0,00;0,00
661C;332000158;YAR-PES FTF 3X166/36 TM TATANIDE APF;4S2005/11;66;KG;RM;vivant;349,000;0,000;0,000;877,36;0,00;0,00;349,00;877,36;0,00;0,00
662A;332000158;YAR-PES FTF 3X166/36 TM TATANIDE APF;4S2005/10;66;KG;RM;vivant;80,000;0,000;0,000;201,11;0,00;0,00;80,00;201,11;0,00;0,00
662A;332000158;YAR-PES FTF 3X166/36 TM TATANIDE APF;4S2005/11;66;KG;RM;vivant;6 458,000;0,000;0,000;16 234,90;0,00;0,00;6 458,00;16 234,90;0,00;0,00
661A;332000196;CHP-FELOSAN FOX;332000196;66;KG;RM;vivant;1 000,000;0,000;0,000;4 350,04;0,00;0,00;1 000,00;4 350,04;0,00;0,00
661E;332000196;CHP-FELOSAN FOX;332000196;66;KG;RM;vivant;613,038;0,000;0,000;2 666,74;0,00;0,00;613,04;2 666,74;0,00;0,00
661E;332000233;CHP-KYOLOX JR CONC;S332000233;66;KG;RM;vivant;120,000;0,000;0,000;969,60;0,00;0,00;120,00;969,60;0,00;0,00
661A;332000238;CHP-PROTE-SET AMB 328 G;332000238;66;KG;RM;vivant;120,000;0,000;0,000;464,40;0,00;0,00;120,00;464,40;0,00;0,00
661A;332000257;PAK-TUBE 100X110X2050;332000257;66;ST;RM;vivant;3 040,000;0,000;0,000;14 743,08;0,00;0,00;3 040,00;14 743,08;0,00;0,00
662A;332000257;PAK-TUBE 100X110X2050;332000257;66;ST;RM;vivant;2 850,000;0,000;0,000;13 821,64;0,00;0,00;2 850,00;13 821,64;0,00;0,00
661A;332000295;PAK-TUBE 100X122X2400;332000295;66;ST;RM;vivant;300,000;0,000;0,000;1 240,83;0,00;0,00;300,00;1 240,83;0,00;0,00
661A;332000337;PAK-GAINE 80CM EN 50 MICRON RECYCLER;;66;KG;RM;vivant;151,100;0,000;0,000;181,05;0,00;0,00;151,10;181,05;0,00;0,00
661B;332000337;PAK-GAINE 80CM EN 50 MICRON RECYCLER;;66;KG;RM;vivant;0,009;0,000;0,000;0,01;0,00;0,00;0,01;0,01;0,00;0,00
661A;332000351;FEUILLE PLASTIQUE 245cm;;66;KG;RM;vivant;1 556,400;0,000;0,000;2 394,46;0,00;0,00;1 556,40;2 394,46;0,00;0,00
661A;332000356;PAK-TUBE 70X78X2150;332000356;66;ST;RM;vivant;1 624,000;0,000;0,000;5 513,64;0,00;0,00;1 624,00;5 513,64;0,00;0,00
662A;332000356;PAK-TUBE 70X78X2150;332000356;66;ST;RM;vivant;812,000;0,000;0,000;2 756,82;0,00;0,00;812,00;2 756,82;0,00;0,00
661A;332000375;PAK-TUBE 152X172X2120;332000375;66;ST;RM;vivant;552,000;0,000;0,000;3 837,86;0,00;0,00;552,00;3 837,86;0,00;0,00
661A;332000394;MS GR SCS 337T 3,7MM 1960 MM FL;123489/02;66;M;RM;vivant;600,000;0,000;0,000;824,40;0,00;0,00;600,00;824,40;0,00;0,00
661A;332000394;MS GR SCS 337T 3,7MM 1960 MM FL;123814/01;66;M;RM;vivant;5 100,000;0,000;0,000;7 007,40;0,00;0,00;5 100,00;7 007,40;0,00;0,00
661E;332000394;MS GR SCS 337T 3,7MM 1960 MM FL;122755/01;66;M;RM;vivant;48,000;0,000;0,000;65,95;0,00;0,00;48,00;65,95;0,00;0,00
661E;332000394;MS GR SCS 337T 3,7MM 1960 MM FL;123489/02;66;M;RM;vivant;636,730;0,000;0,000;874,87;0,00;0,00;636,73;874,87;0,00;0,00
661E;332000394;MS GR SCS 337T 3,7MM 1960 MM FL;123814/01;66;M;RM;vivant;315,000;0,000;0,000;432,81;0,00;0,00;315,00;432,81;0,00;0,00
661A;332000412;MS GR SCS 337T 5,2MM 1960MM FL;123489/01;66;M;RM;vivant;960,000;0,000;0,000;1 806,72;0,00;0,00;960,00;1 806,72;0,00;0,00
661A;332000412;MS GR SCS 337T 5,2MM 1960MM FL;123682/01;66;M;RM;vivant;723,000;0,000;0,000;1 360,68;0,00;0,00;723,00;1 360,68;0,00;0,00
661A;332000431;MS GR SCS 337T 3,4MM 2040MM FL;120868/02;66;M;RM;obsolète;596,000;0,000;0,000;786,13;0,00;0,00;596,00;786,13;0,00;0,00
661E;332000431;MS GR SCS 337T 3,4MM 2040MM FL;120868/02;66;M;RM;obsolète;298,000;0,000;0,000;393,06;0,00;0,00;298,00;393,06;0,00;0,00
661E;332000431;MS GR SCS 337T 3,4MM 2040MM FL;121985/02;66;M;RM;obsolète;244,000;0,000;0,000;321,84;0,00;0,00;244,00;321,84;0,00;0,00
661E;332000431;MS GR SCS 337T 3,4MM 2040MM FL;122049/01;66;M;RM;obsolète;300,000;0,000;0,000;395,70;0,00;0,00;300,00;395,70;0,00;0,00
661E;332000431;MS GR SCS 337T 3,4MM 2040MM FL;123805/03;66;M;RM;obsolète;67,000;0,000;0,000;88,37;0,00;0,00;67,00;88,37;0,00;0,00
661A;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123488/01;66;M;RM;vivant;6 413,000;0,000;0,000;5 066,27;0,00;0,00;6 413,00;5 066,27;0,00;0,00
661A;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123680/03;66;M;RM;vivant;3 409,000;0,000;0,000;2 693,11;0,00;0,00;3 409,00;2 693,11;0,00;0,00
661A;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123807/01;66;M;RM;vivant;6 249,000;0,000;0,000;4 936,71;0,00;0,00;6 249,00;4 936,71;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;122351/01;66;M;RM;vivant;90,000;0,000;0,000;71,10;0,00;0,00;90,00;71,10;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123007/02;66;M;RM;vivant;110,000;0,000;0,000;86,90;0,00;0,00;110,00;86,90;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123270/02;66;M;RM;vivant;282,000;0,000;0,000;222,78;0,00;0,00;282,00;222,78;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123488/01;66;M;RM;vivant;294,000;0,000;0,000;232,26;0,00;0,00;294,00;232,26;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123680/03;66;M;RM;vivant;158,000;0,000;0,000;124,82;0,00;0,00;158,00;124,82;0,00;0,00
661E;332000450;MS GR SCS 337T 1,9MM 2040MM FL;123807/01;66;M;RM;vivant;31,000;0,000;0,000;24,49;0,00;0,00;31,00;24,49;0,00;0,00
661A;332000474;MS EL38VWM LF 4,8MM 1960MM TG;2440084004;66;M;RM;vivant;26,100;0,000;0,000;44,95;0,00;0,00;26,10;44,95;0,00;0,00
661A;332000474;MS EL38VWM LF 4,8MM 1960MM TG;2451074013;66;M;RM;vivant;169,500;0,000;0,000;291,88;0,00;0,00;169,50;291,88;0,00;0,00
662A;332000498;MS AE28BF 2,7MM 1600MM TG;2305081020;66;M;RM;vivant;482,800;0,000;0,000;0,00;0,00;0,00;482,80;0,00;0,00;0,00
662A;332000498;MS AE28BF 2,7MM 1600MM TG;2326079008;66;M;RM;vivant;473,000;0,000;0,000;0,00;0,00;0,00;473,00;0,00;0,00;0,00
662A;332000498;MS AE28BF 2,7MM 1600MM TG;2331092002;66;M;RM;vivant;471,000;0,000;0,000;0,00;0,00;0,00;471,00;0,00;0,00;0,00
662A;332000498;MS AE28BF 2,7MM 1600MM TG;2331092005;66;M;RM;vivant;470,000;0,000;0,000;0,00;0,00;0,00;470,00;0,00;0,00;0,00
661A;332000559;MS AE28BF GT 2040*5,6 TG;2509083005;66;M;RM;vivant;122,300;0,000;0,000;191,89;0,00;0,00;122,30;191,89;0,00;0,00
661E;332000559;MS AE28BF GT 2040*5,6 TG;2521073002;66;M;RM;vivant;162,000;0,000;0,000;254,18;0,00;0,00;162,00;254,18;0,00;0,00
661E;332000559;MS AE28BF GT 2040*5,6 TG;2521073003;66;M;RM;vivant;54,079;0,000;0,000;84,85;0,00;0,00;54,08;84,85;0,00;0,00
661E;332000559;MS AE28BF GT 2040*5,6 TG;2521073005;66;M;RM;vivant;60,100;0,000;0,000;94,30;0,00;0,00;60,10;94,30;0,00;0,00
661E;332000559;MS AE28BF GT 2040*5,6 TG;2607084002;66;M;RM;vivant;105,000;0,000;0,000;164,75;0,00;0,00;105,00;164,75;0,00;0,00
661A;332000578;ENV EC REC BL PA6 059 FR;2276028;66;M;RM;vivant;254,386;0,000;0,000;251,84;0,00;0,00;254,39;251,84;0,00;0,00
661E;332000578;ENV EC REC BL PA6 059 FR;2219972;66;M;RM;vivant;68,160;0,000;0,000;67,48;0,00;0,00;68,16;67,48;0,00;0,00
661E;332000578;ENV EC REC BL PA6 059 FR;2276028;66;M;RM;vivant;301,016;0,000;0,000;298,01;0,00;0,00;301,02;298,01;0,00;0,00
662A;332000578;ENV EC REC BL PA6 059 FR;2219972;66;M;RM;vivant;622,807;0,000;0,000;616,58;0,00;0,00;622,81;616,58;0,00;0,00
662A;332000578;ENV EC REC BL PA6 059 FR;2276028;66;M;RM;vivant;535,088;0,000;0,000;529,74;0,00;0,00;535,09;529,74;0,00;0,00
661D;332000714;TWY-PES FTF 3X175 TMR ARTG 150T S ANT;2 78559;66;KG;WIP;vivant;55,000;0,000;0,000;297,99;0,00;0,00;55,00;297,99;0,00;0,00
662A;332000714;TWY-PES FTF 3X175 TMR ARTG 150T S ANT;280593;66;KG;WIP;vivant;12,000;0,000;0,000;65,02;0,00;0,00;12,00;65,02;0,00;0,00
661A;332001402;YAR-PES FTF 3X150D/48 TM NOIR APF;4S1978/28;66;KG;RM;vivant;2 785,410;0,000;0,000;5 449,70;0,00;0,00;2 785,41;5 449,70;0,00;0,00
661C;332001402;YAR-PES FTF 3X150D/48 TM NOIR APF;4S1978/28;66;KG;RM;vivant;138,401;0,000;0,000;270,78;0,00;0,00;138,40;270,78;0,00;0,00
662A;332001402;YAR-PES FTF 3X150D/48 TM NOIR APF;4S51807;66;KG;RM;vivant;30,000;0,000;0,000;58,70;0,00;0,00;30,00;58,70;0,00;0,00
662A;332001402;YAR-PES FTF 3X150D/48 TM NOIR APF;OBS026;66;KG;RM;vivant;176,200;0,000;0,000;344,74;0,00;0,00;176,20;344,74;0,00;0,00
;332001568;YAR-PES FTF 2X168/48 FE ECRU NOYF;30640;66;KG;RM;vivant;119,696;0,000;0,000;521,87;0,00;0,00;119,70;521,87;0,00;0,00
661D;332001568;YAR-PES FTF 2X168/48 FE ECRU NOYF;30416;66;KG;RM;vivant;56,000;0,000;0,000;244,16;0,00;0,00;56,00;244,16;0,00;0,00
661D;332001568;YAR-PES FTF 2X168/48 FE ECRU NOYF;79625;66;KG;RM;vivant;42,000;0,000;0,000;183,12;0,00;0,00;42,00;183,12;0,00;0,00
662A;332001568;YAR-PES FTF 2X168/48 FE ECRU NOYF;79288;66;KG;RM;vivant;119,320;0,000;0,000;520,24;0,00;0,00;119,32;520,24;0,00;0,00
662A;332001568;YAR-PES FTF 2X168/48 FE ECRU NOYF;79625;66;KG;RM;vivant;178,000;0,000;0,000;776,08;0,00;0,00;178,00;776,08;0,00;0,00
;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;79598;66;KG;RM;vivant;17,260;0,000;0,000;76,98;0,00;0,00;17,26;76,98;0,00;0,00
661D;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;30643;66;KG;RM;vivant;138,000;0,000;0,000;615,48;0,00;0,00;138,00;615,48;0,00;0,00
661D;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;30741;66;KG;RM;vivant;82,000;0,000;0,000;365,72;0,00;0,00;82,00;365,72;0,00;0,00
661D;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;31095;66;KG;RM;vivant;145,000;0,000;0,000;646,70;0,00;0,00;145,00;646,70;0,00;0,00
662A;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;07158155T1;66;KG;RM;vivant;74,040;0,000;0,000;330,22;0,00;0,00;74,04;330,22;0,00;0,00
662A;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;30243;66;KG;RM;vivant;95,000;0,000;0,000;423,70;0,00;0,00;95,00;423,70;0,00;0,00
662A;332001582;YAR-PES FTF 3X177/48 FE ECRU NOYF;79788;66;KG;RM;vivant;28,000;0,000;0,000;124,88;0,00;0,00;28,00;124,88;0,00;0,00
661D;332001742;YAR-PES FTF 2X177/48 TM BISE POLY;R5327;66;KG;RM;vivant;159,738;0,000;0,000;522,34;0,00;0,00;159,74;522,34;0,00;0,00
661D;332001747;YAR-PES FTF 3X177/48 TM BISE POLY;R93154;66;KG;RM;vivant;140,000;0,000;0,000;471,80;0,00;0,00;140,00;471,80;0,00;0,00
662A;332001747;YAR-PES FTF 3X177/48 TM BISE POLY;R93154;66;KG;RM;vivant;513,800;0,000;0,000;1 731,51;0,00;0,00;513,80;1 731,51;0,00;0,00
661A;332001827;YAR-PES FTF 3X178/48 TM 1ECR/2NOIR ANT;354312;66;KG;RM;vivant;29,700;0,000;0,000;119,09;0,00;0,00;29,70;119,09;0,00;0,00
662A;332001827;YAR-PES FTF 3X178/48 TM 1ECR/2NOIR ANT;354312;66;KG;RM;vivant;54,130;0,000;0,000;217,06;0,00;0,00;54,13;217,06;0,00;0,00
662A;332001926;TWY-PES/TENCE 50-50 2/60NM ECR/ECR BOR;3420;66;KG;RM;obsolète;552,000;0,000;0,000;3 781,20;0,00;0,00;552,00;3 781,20;0,00;0,00
661C;332001964;YAR-PES FTF 1X175/48 BI50 FE ECRU ANT;358400;66;KG;RM;vivant;1 450,000;0,000;0,000;6 162,50;0,00;0,00;1 450,00;6 162,50;0,00;0,00
662A;332001964;YAR-PES FTF 1X175/48 BI50 FE ECRU ANT;283127;66;KG;RM;vivant;122,000;0,000;0,000;518,50;0,00;0,00;122,00;518,50;0,00;0,00
661A;332002058;YAR-PES FTF 3X178/48 TM 2ECR/1NOIR ANT;354975;66;KG;RM;vivant;4 453,380;0,000;0,000;0,00;0,00;0,00;4 453,38;0,00;0,00;0,00
661C;332002058;YAR-PES FTF 3X178/48 TM 2ECR/1NOIR ANT;352676;66;KG;RM;vivant;264,000;0,000;0,000;1 256,64;0,00;0,00;264,00;1 256,64;0,00;0,00
661D;332002058;YAR-PES FTF 3X178/48 TM 2ECR/1NOIR ANT;352676;66;KG;RM;vivant;606,260;0,000;0,000;2 885,80;0,00;0,00;606,26;2 885,80;0,00;0,00
662A;332002058;YAR-PES FTF 3X178/48 TM 2ECR/1NOIR ANT;352676;66;KG;RM;vivant;1 167,730;0,000;0,000;5 558,39;0,00;0,00;1 167,73;5 558,39;0,00;0,00
662A;332002058;YAR-PES FTF 3X178/48 TM 2ECR/1NOIR ANT;352676;66;KG;RM;vivant;1 645,000;0,000;0,000;0,00;0,00;0,00;1 645,00;0,00;0,00;0,00
661A;332002077;YAR-PES FTF 3X178/48 TM 2ECR/1BISE ANT;354706;66;KG;RM;vivant;3 480,280;0,000;0,000;0,00;0,00;0,00;3 480,28;0,00;0,00;0,00
661A;332002077;YAR-PES FTF 3X178/48 TM 2ECR/1BISE ANT;356716;66;KG;RM;vivant;3 795,840;0,000;0,000;0,00;0,00;0,00;3 795,84;0,00;0,00;0,00
662A;332002077;YAR-PES FTF 3X178/48 TM 2ECR/1BISE ANT;352779;66;KG;RM;vivant;576,410;0,000;0,000;0,00;0,00;0,00;576,41;0,00;0,00;0,00
661D;332002091;YAR-PES FTF 2X180/48 TM 1ECR/1PISA ANT;239594;66;KG;RM;obsolète;3,350;0,000;0,000;13,94;0,00;0,00;3,35;13,94;0,00;0,00
662A;332002091;YAR-PES FTF 2X180/48 TM 1ECR/1PISA ANT;351527;66;KG;RM;obsolète;4 281,490;0,000;0,000;17 811,01;0,00;0,00;4 281,49;17 811,01;0,00;0,00
662A;332002171;LAM-NILO NEGRO GRIS 1900MM 4MM;1873632;66;M;FG;vivant;181,350;0,000;0,000;1 338,10;0,00;0,00;181,35;1 338,10;0,00;0,00
661A;332002195;FT-CLIP TITANSCWARZ 192 CM 230 GM2;2340072;66;M;FG;vivant;1,000;0,000;0,000;2,31;0,00;0,00;1,00;2,31;0,00;0,00
